"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"1","Loan servicing，payments，escrow account","WY",83014,1,43.5278,-110.934
"2","Loan servicing，payments，escrow account","WY",83012,1,43.865,-110.83
"3","Loan servicing，payments，escrow account","WY",83002,2,43.4703,-110.7864
"4","Loan servicing，payments，escrow account","WY",83001,2,43.4856,-110.5609
"5","Loan servicing，payments，escrow account","WY",82939,1,41.273,-110.3352
"6","Loan servicing，payments，escrow account","WY",82935,4,41.8757,-109.6975
"7","Loan servicing，payments，escrow account","WY",82930,1,41.29,-110.7858
"8","Loan servicing，payments，escrow account","WY",82901,2,41.6319,-108.9027
"9","Loan servicing，payments，escrow account","WY",82834,2,44.2844,-106.5811
"10","Loan servicing，payments，escrow account","WY",82801,1,44.7768,-106.9652
"11","Loan servicing，payments，escrow account","WY",82718,1,43.899,-105.5453
"12","Loan servicing，payments，escrow account","WY",82716,2,44.4947,-105.6763
"13","Loan servicing，payments，escrow account","WY",82609,2,42.7008,-106.1104
"14","Loan servicing，payments，escrow account","WY",82604,2,42.8404,-106.9531
"15","Loan servicing，payments，escrow account","WY",82601,3,43.0429,-106.2252
"16","Loan servicing，payments，escrow account","WY",82520,2,42.6733,-108.6502
"17","Loan servicing，payments，escrow account","WY",82513,1,43.6429,-109.7116
"18","Loan servicing，payments，escrow account","WY",82501,1,43.1293,-108.4807
"19","Loan servicing，payments，escrow account","WY",82435,2,44.7316,-108.7688
"20","Loan servicing，payments，escrow account","WY",82426,1,44.565,-108.1753
"21","Loan servicing，payments，escrow account","WY",82414,1,44.4848,-109.4828
"22","Loan servicing，payments，escrow account","WY",82301,3,41.7493,-107.2237
"23","Loan servicing，payments，escrow account","WY",82244,1,41.9252,-104.4505
"24","Loan servicing，payments，escrow account","WY",82083,1,41.7502,-106.0093
"25","Loan servicing，payments，escrow account","WY",82072,1,41.4856,-105.5122
"26","Loan servicing，payments，escrow account","WY",82070,1,41.2668,-105.6953
"27","Loan servicing，payments，escrow account","WY",82009,5,41.3806,-104.818
"28","Loan servicing，payments，escrow account","WY",82007,1,41.0739,-104.7471
"29","Loan servicing，payments，escrow account","WY",82001,7,41.127,-104.9879
"30","Loan servicing，payments，escrow account","WV",54313,1,44.6093,-88.1203
"31","Loan servicing，payments，escrow account","WV",26755,1,39.1846,-78.7221
"32","Loan servicing，payments，escrow account","WV",26711,2,39.2994,-78.4355
"33","Loan servicing，payments，escrow account","WV",26651,1,38.3191,-80.8584
"34","Loan servicing，payments，escrow account","WV",26586,1,39.5267,-80.1079
"35","Loan servicing，payments，escrow account","WV",26554,4,39.4743,-80.1127
"36","Loan servicing，payments，escrow account","WV",26508,2,39.5782,-79.9144
"37","Loan servicing，payments，escrow account","WV",26505,1,39.6446,-79.9461
"38","Loan servicing，payments，escrow account","WV",26501,1,39.6329,-80.0389
"39","Loan servicing，payments，escrow account","WV",26444,1,39.3549,-79.7527
"40","Loan servicing，payments，escrow account","WV",26385,1,39.144,-80.3097
"41","Loan servicing，payments，escrow account","WV",26378,1,39.1123,-80.4163
