Company,Issue,Year,Count
Ocwen,Loan modification，collection，foreclosure,2011,30
Citibank,Loan modification，collection，foreclosure,2011,32
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2011,89
Wells Fargo & Company,Loan modification，collection，foreclosure,2011,114
Citibank,Loan modification，collection，foreclosure,2017,148
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2017,178
Bank of America,Loan modification，collection，foreclosure,2011,229
Ocwen,Loan modification，collection，foreclosure,2017,267
Bank of America,Loan modification，collection，foreclosure,2017,380
Citibank,Loan modification，collection，foreclosure,2016,508
Wells Fargo & Company,Loan modification，collection，foreclosure,2017,545
Citibank,Loan modification，collection，foreclosure,2015,747
Citibank,Loan modification，collection，foreclosure,2012,920
Citibank,Loan modification，collection，foreclosure,2014,931
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2016,1120
Citibank,Loan modification，collection，foreclosure,2013,1398
Ocwen,Loan modification，collection，foreclosure,2016,1424
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2015,1506
Bank of America,Loan modification，collection，foreclosure,2016,1835
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2014,1933
Ocwen,Loan modification，collection，foreclosure,2015,1957
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2012,2082
Ocwen,Loan modification，collection，foreclosure,2012,2203
Bank of America,Loan modification，collection，foreclosure,2015,2383
Ocwen,Loan modification，collection，foreclosure,2014,2556
Ocwen,Loan modification，collection，foreclosure,2013,2608
Wells Fargo & Company,Loan modification，collection，foreclosure,2016,2734
Wells Fargo & Company,Loan modification，collection，foreclosure,2015,2782
JPMorgan Chase & Co.,Loan modification，collection，foreclosure,2013,2821
Wells Fargo & Company,Loan modification，collection，foreclosure,2014,2902
Bank of America,Loan modification，collection，foreclosure,2014,3517
Wells Fargo & Company,Loan modification，collection，foreclosure,2012,3556
Wells Fargo & Company,Loan modification，collection，foreclosure,2013,4662
Bank of America,Loan modification，collection，foreclosure,2012,7813
Bank of America,Loan modification，collection，foreclosure,2013,8891
